site_name,median_brightness_mag_arcsec2,bortle_sky_level,median_linear_scale_flux_ratio,x_brighter_than_darkest_night_sky
Eugene Downtown,18.27,7,12.36,26.79
Portland SE,18.45,7,10.47,22.70
Westmoreland Park,18.59,6,9.20,19.95
Hoyt Arboretum,18.69,6,8.39,18.20
Powell Butte Park,18.83,6,7.38,16.00
Portland SW,18.84,6,7.31,15.85
PCC Rock Creek,18.90,6,6.92,15.00
Jenkins Estate,19.28,5,4.88,10.57
Hopservatory,19.64,5,3.50,7.59
Mt Pisgah Arboretum,20.07,5,2.36,5.11
Awbrey Butte Chimney,20.19,5,2.11,4.57
Junction City,20.24,5,2.01,4.37
Awbrey Butte,20.31,4,1.89,4.09
Madras,20.75,4,1.26,2.73
Tetherow,20.78,4,1.22,2.65
Talent,20.80,4,1.20,2.61
Redmond West,20.90,4,1.10,2.38
Sisters East,21.00,4,1.00,2.17
High Desert Museum,21.06,4,0.95,2.05
Stub Stewart State Park,21.22,4,0.82,1.77
Crooked River Ranch,21.28,4,0.77,1.67
Lowell NE,21.30,3,0.76,1.64
Sisters High School,21.42,3,0.68,1.47
Black Butte Ranch House,21.44,3,0.67,1.45
Mosier Ranch,21.44,3,0.67,1.45
Halfway,21.46,3,0.65,1.42
Grizzly Mountain,21.48,3,0.64,1.39
Neskowin,21.49,3,0.64,1.38
Hyatt Lake,21.51,3,0.63,1.36
Oregon Observatory Sunriver,21.51,3,0.63,1.36
Humbug Mtn State Park,21.53,3,0.61,1.33
Lava Butte,21.53,3,0.61,1.33
Lava Cast Forest,21.53,3,0.61,1.33
Rimrock Ranch,21.54,3,0.61,1.32
Bandon,21.55,3,0.61,1.31
Arizona Beach State Park,21.62,2,0.56,1.22
Paulina Lake Visitor Center,21.62,2,0.56,1.22
Manzanita,21.64,2,0.55,1.20
Shooting Star ranch,21.64,2,0.55,1.20
Wallowa Lake State Park,21.65,2,0.55,1.19
Black Butte Meadow,21.66,2,0.54,1.18
Cape Blanco State Park,21.66,2,0.54,1.18
Jordan Craters,21.70,2,0.52,1.14
Oregon Caves National Monument,21.70,2,0.52,1.14
Pine Mountain Observatory,21.70,2,0.52,1.14
Antelope,21.71,2,0.52,1.13
Cottonwood Canyon State Park,21.71,2,0.52,1.13
Prineville Reservoir State Park,21.71,2,0.52,1.13
Raven Ridge,21.71,2,0.52,1.13
Playa Summer Lake,21.72,2,0.52,1.12
Camp Hancock,21.73,2,0.51,1.11
Alvord Desert,21.74,2,0.51,1.10
Camas Sno Park,21.74,2,0.51,1.10
Malheur Field Station,21.74,2,0.51,1.10
Hart Mountain Camp,21.76,1,0.50,1.08
Summit Prairie,21.80,1,0.48,1.04
Crater Lake National Park,21.83,1,0.47,1.01
Hart Mountain,21.84,1,0.46,1.00
