site_name,percent_clear_night_samples_all_months
Hyatt Lake,48.4
Summit Prairie,46.8
Hart Mountain,44.8
Camas Sno Park,44.6
Crater Lake National Park,44.2
Alvord Desert,43.4
Malheur Field Station,42.4
Oregon Caves National Monument,42.3
Playa Summer Lake,42.1
Raven Ridge,42.0
Jordon Craters,39.6
Cottonwood Canyon State Park,39.5
Pine Mountain Observatory,38.8
Shooting Star ranch,38.5
Black Butte Meadow,36.2
Paulina Lake Visitor Center,35.9
Camp Hancock,35.9
Halfway,35.6
Hart Mountain Camp,35.5
Prineville Reservoir State Park,34.7
Rimrock Ranch,32.7
Humbug Mtn State Park,32.4
Crooked River Ranch,32.3
WCMGA Learning Garden at Jenkins Estate,31.8
Beacon Rock State Park,31.3
Eagle Crest,31.2
Lava Cast Forest,31.2
Lava Butte,30.3
Wallowa Lake State Park,30.3
Talent,30.1
Antelope,29.9
Redmond West,29.8
High Desert Museum,29.3
Grizzly Mountain,28.9
Arizona Beach State Park,28.9
Awbrey Butte,28.7
Sisters East,27.7
Sunriver,27.2
Awbrey Butte Chimney,26.9
Hopservatory,26.8
Cape Blanco State Park,26.1
Hoyt Arboretum,26.1
Mosier,25.2
Tetherow,25.0
WCMGA Education Garden at PCC Rock Creek,24.4
Stub Stewart State Park,23.7
Sisters High School,22.9
Madras,22.7
Portland SE,22.5
Lowell NE,21.7
Neskowin,20.5
Bandon,20.4
Powell Butte Park,20.2
Westmoreland Park,18.8
Junction City,18.7
Mt Pisgah Arboretum,18.6
Mosier Dry Creek,17.7
Portland SW,17.6
Manzanita,16.6
Eugene Downtown,11.7
