site_name,median_brightness_mag_arcsec2,median_linear_scale_flux_ratio,x_brighter_than_darkest_night_sky
Eugene Downtown,15.94,94.62,436.52
Portland SE,16.35,63.68,293.76
Westmoreland Park,16.58,52.97,244.34
Powell Butte Park,16.75,45.08,207.97
Portland SW,16.94,37.67,173.78
Hoyt Arboretum,16.97,36.98,170.61
WCMGA Education Garden at PCC Rock Creek,17.35,26.06,120.23
WCMGA Learning Garden at Jenkins Estate,17.89,15.85,73.11
Hopservatory,18.66,7.52,34.67
Junction City,18.78,6.85,31.62
Mt Pisgah Arboretum,18.81,6.67,30.76
Awbrey Butte Chimney,19.08,5.15,23.77
Awbrey Butte,19.36,3.91,18.03
Tetherow,19.71,2.86,13.18
Madras,19.76,2.73,12.59
Talent,19.90,2.40,11.07
Eagle Crest,20.09,2.09,9.64
Redmond West,20.11,2.05,9.46
Lowell NE,20.34,1.64,7.59
Sisters East,20.36,1.58,7.31
High Desert Museum,20.36,1.60,7.38
Manzanita,20.68,1.20,5.55
Oregon Observatory Sunriver,20.81,1.03,4.74
Sisters High School,20.87,0.98,4.53
Halfway,20.92,0.95,4.41
Crooked River Ranch,20.93,0.95,4.37
Bandon,21.03,0.86,3.94
Mosier Ranch,21.07,0.79,3.66
Stub Stewart State Park,21.23,0.71,3.28
Lava Butte,21.29,0.69,3.16
Neskowin,21.29,0.68,3.13
Mosier Dry Creek,21.30,0.68,3.13
Grizzly Mountain,21.32,0.66,3.05
Black Butte Ranch House,21.37,0.64,2.96
Rimrock Ranch,21.48,0.56,2.58
Black Butte Meadow,21.54,0.53,2.44
Prineville Reservoir State Park,21.61,0.49,2.27
Antelope,21.65,0.49,2.27
Shooting Star ranch,21.69,0.47,2.15
Arizona Beach State Park,21.73,0.46,2.13
Summit Prairie,21.78,0.44,2.01
Wallowa Lake State Park,21.78,0.43,1.98
Hyatt Lake,21.79,0.44,2.01
Humbug Mtn State Park,21.79,0.43,2.00
Camas Sno Park,21.80,0.43,1.98
Cottonwood Canyon State Park,21.82,0.41,1.91
Cape Blanco State Park,21.82,0.42,1.94
Playa Summer Lake,21.87,0.39,1.82
Oregon Caves National Monument,21.87,0.39,1.82
Pine Mountain Observatory,21.87,0.38,1.77
Raven Ridge,21.89,0.39,1.79
Lava Cast Forest,21.89,0.39,1.82
Hart Mountain Camp,21.89,0.39,1.80
Malheur Field Station,21.90,0.38,1.77
Alvord Desert,21.91,0.38,1.75
Camp Hancock,21.93,0.37,1.72
Hart Mountain,21.98,0.36,1.66
Jordan Craters,22.25,0.28,1.31
Crater Lake National Park,22.54,0.22,1.00
Paulina Lake Visitor Center,22.63,0.20,0.92
