brightness_mag_arcsec2,red,green,blue,transparency
0.010,255,255,255,255
8.970,255,255,255,255
17.930,255,255,255,255
18.290,244,200,230,255
18.650,233,145,205,255
19.000,215,78,173,255
19.350,196,10,141,255
19.680,226,5,71,255
20.010,255,0,0,255
20.310,252,90,6,255
20.600,249,179,11,255
20.850,252,217,38,255
21.090,255,255,64,255
21.270,204,203,51,255
21.450,153,150,37,255
21.570,95,137,47,255
21.680,37,124,56,255
21.750,51,94,156,255
21.820,64,64,255,255
21.860,32,32,255,255
21.900,0,0,255,255
21.920,0,0,180,255
21.940,0,0,105,255
21.950,64,64,117,255
21.960,128,128,128,255
21.965,90,90,90,255
21.970,51,51,51,255
21.980,26,26,26,255
22.000,0,0,0,255
41.000,0,0,0,255
