ratio_index,red,green,blue,transparency
0.900,0,0,0,255
0.920,4,4,4,255
0.940,34,34,34,255
0.960,70,70,70,255
0.980,114,114,114,255
1.000,77,77,119,255
1.010,40,40,112,255
1.020,3,3,105,255
1.030,0,0,146,255
1.040,0,0,189,255
1.050,0,0,233,255
1.060,9,9,255,255
1.070,28,28,255,255
1.080,46,46,255,255
1.090,64,65,253,255
1.100,56,82,196,255
1.110,48,99,138,255
1.120,40,117,80,255
1.130,57,128,53,255
1.140,90,136,48,255
1.150,124,143,42,255
1.160,157,154,38,255
1.170,187,185,46,255
1.180,216,215,54,255
1.190,246,246,62,255
1.200,254,240,54,255
1.210,252,218,39,255
1.220,250,196,23,255
1.230,249,167,10,255
1.240,251,115,7,255
1.250,253,63,4,255
1.260,255,11,1,255
1.270,242,2,33,255
1.280,225,5,74,255
1.290,207,8,114,255
1.300,200,24,147,255
1.310,211,63,166,255
1.320,221,102,185,255
1.330,232,141,203,255
1.340,239,174,218,255
1.350,245,206,233,255
1.400,245,221,233,255
