site_name,difference_index_mag_arcsec2,ratio_index
Westmoreland Park,-0.09,0.921
PCC Rock Creek,-0.06,0.945
Portland SW,-0.06,0.946
Portland SE,-0.05,0.955
Scholls,-0.04,0.965
Jenkins Estate,-0.01,0.99
Columbia Gorge Museum,0,1
Hoyt Arboretum,0,1
Powell Butte Park,0.01,1.009
Sandy River Delta,0.01,1.009
Mt Pisgah Arboretum,0.04,1.037
Junction City,0.07,1.07
Awbrey Chimney,0.08,1.077
Ashland Middle School,0.09,1.084
Hopservatory,0.09,1.086
Awbrey Butte,0.09,1.087
Beacon Rock State Park,0.1,1.091
Juniper Mountain Road,0.11,1.103
Discovery Center,0.11,1.109
Humbug Mtn State Park,0.11,1.115
Provolt Recreation Site,0.12,1.115
High Desert Museum,0.13,1.119
Rooster Rock State Park,0.13,1.127
Tetherow,0.13,1.127
Stub Stewart State Park,0.15,1.14
Arizona Beach State Park,0.14,1.143
Sisters Town East,0.15,1.144
Madras Juniper Hills,0.15,1.145
Cove,0.16,1.152
Redmond West,0.16,1.161
Talent,0.16,1.165
Manzanita,0.17,1.169
Jordan Craters,0.17,1.17
Wishram AQI,0.18,1.178
Crooked River Ranch,0.18,1.179
Halfway,0.18,1.182
Wallowa Lake State Park,0.18,1.185
Viento State Park,0.19,1.194
Lowell,0.2,1.195
Hood River,0.2,1.198
Mosier Ranch,0.2,1.206
Paulina Lake Visitor Center,0.21,1.207
Blue River,0.19,1.217
Rimrock Ranch,0.23,1.222
Grizzly Mountain,0.21,1.224
Lava Butte,0.23,1.231
Neskowin,0.22,1.231
Sisters High School,0.23,1.239
Eagle Crest,0.23,1.24
Oregon Caves National Monument,0.24,1.241
Oregon Observatory Sunriver,0.23,1.246
Black Butte Ranch,0.26,1.263
Hyatt Lake,0.25,1.267
Lava Cast Forest,0.26,1.267
Summer Lake,0.25,1.269
Cape Blanco State Park,0.25,1.278
Hart Mountain Camp,0.28,1.28
Shooting Star Ranch,0.27,1.281
Pine Mountain Observatory,0.26,1.283
Bandon,0.27,1.286
Camas Sno Park,0.29,1.288
Camp Hancock,0.26,1.288
Malheur Field Station,0.27,1.288
Crater Lake National Park,0.28,1.292
Summit Prairie,0.28,1.292
Prineville Reservoir State Park,0.27,1.296
Raven Ridge,0.28,1.302
Antelope,0.28,1.304
Cottonwood Canyon State Park,0.28,1.308
Alvord Desert,0.3,1.314
Deschutes River SRA,0.3,1.314
Hart Mountain,0.33,1.37

