site_name,latitude,longitude
Awbrey Butte,44.08,-121.33
Pine Mountain Observatory,43.79,-120.94
Prineville Reservoir State Park,44.13,-120.72
Hopservatory,44.06,-121.26
Oregon Observatory Sunriver,43.89,-121.45
Mosier Ranch,45.68,-121.40
Madras,44.63,-121.13
Black Butte Meadow,44.38,-121.66
Tetherow,44.04,-121.37
Rimrock Ranch,44.85,-119.68
Sisters High School,44.17,-121.34
Mosier Dry Creek,45.68,-121.39
Camp Hancock,45.09,-121.44
Alvord Desert,42.54,-118.46
Malheur Field Station,43.24,-118.90
Raven Ridge,42.54,-124.28
Cottonwood Canyon State Park,45.28,-120.28
Stub Stewart State Park,45.44,-123.11
Hart Mountain,42.41,-119.80
Playa Summer Lake,42.81,-120.79
Shooting Star ranch,45.43,-122.48
Summit Prairie,44.36,-120.20
Talent,42.25,-122.79
Halfway,44.88,-117.11
Wallowa Lake State Park,45.28,-117.21
Black Butte Ranch House,44.22,-121.39
Sisters East,44.10,-121.77
Crooked River Ranch,44.43,-121.24
Oregon Caves National Monument,42.10,-123.41
Grizzly Mountain,44.26,-120.57
Awbrey Butte Chimney,44.08,-121.33
Bandon,43.12,-124.41
Lowell NE,43.93,-122.77
Mt Pisgah Arboretum,44.0,-122.98
Junction City,44.22,-123.21
Portland SW,45.51,-122.70
Portland SE,45.49,-122.60
Crater Lake National Park,42.93,-122.12
Neskowin,45.11,-123.98
Humbug Mtn State Park,42.69,-124.44
Arizona Beach State Park,42.62,-124.40
Cape Blanco State Park,42.84,-124.56
Camas Sno Park,42.23,-120.23
High Desert Museum,43.97,-121.34
Lava Butte,43.92,-121.36
Hart Mountain Camp,42.39,-119.78
Manzanita,45.72,-123.94
Jordan Craters,43.15,-117.46
Antelope,44.91,-120.72
Eugene Downtown,44.03,-123.09
Paulina Lake Visitor Center,43.71,-121.28
Lava Cast Forest,43.81,-121.29
Westmoreland Park,45.28,-122.38
Powell Butte Park,45.49,-122.50
Redmond West,44.27,-121.17
Hoyt Arboretum,45.52,-122.72
PCC Rock Creek,45.57,-122.86
Jenkins Estate,45.27,-122.53
Hyatt Lake,42.19,-122.45
Eagle Crest,44.15,-121.15
Deschutes River SRA,45.38,-120.54
Beacon Rock State Park,45.65,-122.01
Hines Middle School,43.56,-119.09
Rooster Rock State Park,45.54,-122.25
Viento State Park,45.41,-121.40
